district,x,y
Bagerhat,-79,-170
Bandarban,195,-195
Barguna,-25,-171
Barisal,-19,-83
Bhola,39,-136
Bogura,-119,142
Brahmanbaria,62,28
Chandpur,29,-49
Chapainawabganj,-240,125
Chattogram,152,-136
Chuadanga,-174,-5
Cumilla,72,-14
Coxsbazar,182,-251
Dhaka,-18,30
Dinajpur,-196,239
Faridpur,-68,-16
Feni,112,-71
Gaibandha,-107,191
Gazipur,-4,64
Gopalganj,-55,-59
Habiganj,109,94
Jamalpur,-67,147
Jashore,-143,-59
Jhalakathi,-23,-121
Jhenaidah,-146,-16
Joypurhat,-147,180
Khagrachhari,161,-44
Khulna,-108,-124
Kishoreganj,42,88
Kurigram,-78,238
Kushtia,-158,45
Lakshmipur,40,-69
Lalmonirhat,-124,290
Madaripur,-32,-50
Magura,-105,-21
Manikganj,-55,27
Meherpur,-185,20
Moulvibazar,151,92
Munshiganj,-5,-10
Mymensingh,-16,120
Naogaon,-194,162
Narail,-90,-53
Narayanganj,21,17
Narsingdi,38,48
Natore,-146,84
Netrokona,28,154
Nilphamari,-166,277
Noakhali,73,-83
Pabna,-123,62
Panchagarh,-202,317
Patuakhali,4,-141
Pirojpur,-41,-97
Rajbari,-100,8
Rajshahi,-200,99
Rangamati,187,-98
Rangpur,-135,237
Satkhira,-140,-145
Shariatpur,-1,-43
Sherpur,-41,181
Sirajganj,-104,94
Sunamganj,86,163
Sylhet,159,152
Tangail,-49,92
Thakurgaon,-238,275
